productName,productPrice,productDescription,productReleaseDate
LIDOCAINE HYDROCHLORIDE ANHYDROUS,57.44,Fall into swimming pool striking water surface causing other injury,2015-09-26
"Acetaminophen, Phenylephrine HCl, Dextromethorphan HBr and Guiafenesin",194.15,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",2008-12-11
Olanzapine,109.45,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder,2006-01-17
OXYBUTYNIN CHLORIDE,56.6,"Blister (nonthermal), unspecified hip, subsequent encounter",2013-01-02
Ibuprofen,174.1,"Open bite of unspecified thumb with damage to nail, sequela",2011-03-25
Desoximetasone,135.56,"Other mechanical complication of carotid arterial graft (bypass), initial encounter",2006-03-15
Poverty Weed,178.0,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of unspecified duration, initial encounter",2005-11-10
"Acetaminophen, Dextromathorphan HBr, Gauifenesin, Phenylephrine HCl",117.52,"Displaced fracture of capitate [os magnum] bone, unspecified wrist",2014-03-16
Mercaptopurine,162.69,"Nondisplaced fracture of unspecified ulna styloid process, subsequent encounter for closed fracture with routine healing",2008-02-03
Megestrol Acetate,99.28,"Monoarthritis, not elsewhere classified, hip",2010-10-17
"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",157.11,"Person boarding or alighting a car injured in collision with two- or three-wheeled motor vehicle, sequela",2011-08-03
Tolnaftate,103.72,"Laceration of unspecified renal artery, initial encounter",2006-04-30
OCTINOXATE and TITANIUM DIOXIDE,149.93,"Pathological fracture in other disease, right ankle",2005-12-10
triclosan,16.62,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident, subsequent encounter",2011-03-30
imiquimod,13.23,"Multiple fractures of pelvis without disruption of pelvic ring, initial encounter for closed fracture",2013-08-10
Olanzapine pamoate,19.21,"Laceration of extensor or abductor muscles, fascia and tendons of left thumb at forearm level, initial encounter",2005-06-21
Lidocaine Hydrochloride Phenol,110.64,Fracture of lower epiphysis (separation) of femur,2016-07-21
Pneumococcal 7-valent,128.5,"4-part fracture of surgical neck of right humerus, subsequent encounter for fracture with routine healing",2004-02-05
Triamterene and Hydrochlorothiazide,188.27,"Toxic effect of phenol and phenol homologues, assault, initial encounter",2009-12-10
Metformin Hydrochloride,185.05,"Retained (old) intraocular foreign body, nonmagnetic",2016-05-14
"OCTINOXATE, OXYBENZONE",29.66,"Laceration with foreign body of unspecified thumb with damage to nail, subsequent encounter",2014-06-01
Ondansetron,106.05,"Nondisplaced pilon fracture of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",2005-04-30
Omeprazole,176.28,Unspecified physeal fracture of phalanx of right toe,2009-10-02
Fluphenazine Hydrochloride,80.59,Puncture wound with foreign body of wrist,2002-04-25
GLIPIZIDE,107.54,"Preterm labor with preterm delivery, unspecified trimester, fetus 4",2011-04-28
